policy,automatic_coverage,automatic_error_rate,automatic_false_negative_fraction,automatic_false_positive_fraction,expected_n_automatic,setting,model,seed,calibration,matched_method
random,0.2,0.3633177570093459,0.0683673469387755,0.0762931034482758,171.20000000000002,iid,logistic,42,none,fixed_budget
confidence,0.4,0.2552570093457945,0.0790816326530612,0.1215517241379311,342.40000000000003,iid,logistic,42,none,fixed_budget
random,0.4,0.3633177570093459,0.136734693877551,0.1525862068965517,342.40000000000003,iid,logistic,42,none,fixed_budget
confidence,0.6,0.2901090342679127,0.1556122448979592,0.1896551724137931,513.6,iid,logistic,42,none,fixed_budget
random,0.6,0.3633177570093457,0.2051020408163265,0.2288793103448275,513.5999999999999,iid,logistic,42,none,fixed_budget
confidence,0.8,0.3384929906542057,0.2647959183673471,0.2758620689655172,684.8000000000001,iid,logistic,42,none,fixed_budget
random,0.8,0.3633177570093459,0.273469387755102,0.3051724137931035,684.8000000000001,iid,logistic,42,none,fixed_budget
confidence,0.2,0.199766355140187,0.0510204081632653,0.0306034482758621,171.20000000000002,iid,logistic,42,platt,fixed_budget
random,0.2,0.3586448598130841,0.086734693877551,0.059051724137931,171.20000000000002,iid,logistic,42,platt,fixed_budget
confidence,0.4,0.2570093457943925,0.125,0.084051724137931,342.40000000000003,iid,logistic,42,platt,fixed_budget
random,0.4,0.3586448598130841,0.173469387755102,0.118103448275862,342.40000000000003,iid,logistic,42,platt,fixed_budget
confidence,0.6,0.2959501557632398,0.2244897959183673,0.1379310344827586,513.6,iid,logistic,42,platt,fixed_budget
random,0.6,0.358644859813084,0.260204081632653,0.177155172413793,513.5999999999999,iid,logistic,42,platt,fixed_budget
confidence,0.8,0.3300233644859813,0.3214285714285714,0.2155172413793103,684.8000000000001,iid,logistic,42,platt,fixed_budget
random,0.8,0.3586448598130841,0.3469387755102041,0.2362068965517241,684.8000000000001,iid,logistic,42,platt,fixed_budget
confidence,0.2,0.2030657037666383,0.0555225726654298,0.0280172413793103,171.20000000000002,iid,logistic,42,isotonic,fixed_budget
random,0.2,0.3633177570093459,0.0765306122448979,0.0693965517241379,171.20000000000002,iid,logistic,42,isotonic,fixed_budget
confidence,0.4,0.2418224299065421,0.0989795918367347,0.0948275862068965,342.4,iid,logistic,42,isotonic,fixed_budget
random,0.4,0.3633177570093459,0.1530612244897959,0.1387931034482758,342.40000000000003,iid,logistic,42,isotonic,fixed_budget
confidence,0.6,0.3054935602362022,0.2880140115747792,0.0948275862068965,513.5999999999999,iid,logistic,42,isotonic,fixed_budget
random,0.6,0.3633177570093457,0.2295918367346938,0.2081896551724137,513.5999999999999,iid,logistic,42,isotonic,fixed_budget
confidence,0.8,0.3353036055649956,0.3061224489795918,0.23624118338558,684.8000000000002,iid,logistic,42,isotonic,fixed_budget
random,0.8,0.3633177570093459,0.3061224489795918,0.2775862068965517,684.8000000000001,iid,logistic,42,isotonic,fixed_budget
confidence,0.2710280373831775,0.1982758620689655,0.0841836734693877,0.0280172413793103,232.0,iid,logistic,42,isotonic,split_cp
random,0.2710280373831775,0.3633177570093458,0.1037097081823383,0.0940420560747663,232.00000000000003,iid,logistic,42,isotonic,split_cp
singleton,0.2710280373831775,0.1982758620689655,0.0841836734693877,0.0280172413793103,232.0,iid,logistic,42,isotonic,split_cp
confidence,0.1880841121495327,0.2040278562017692,0.0506338899196042,0.0280172413793103,161.0,iid,logistic,42,isotonic,mondrian_cp
random,0.1880841121495327,0.3633177570093458,0.0719709612817089,0.065261944086368,161.0,iid,logistic,42,isotonic,mondrian_cp
singleton,0.1880841121495327,0.2857142857142857,0.0051020408163265,0.0948275862068965,161.0,iid,logistic,42,isotonic,mondrian_cp
confidence,0.1904205607476635,0.2038297081241866,0.0515924551638837,0.0280172413793103,163.0,iid,logistic,42,isotonic,empirical_mondrian
random,0.1904205607476635,0.3633177570093457,0.0728650104901773,0.0660726514663229,162.99999999999997,iid,logistic,42,isotonic,empirical_mondrian
singleton,0.1904205607476635,0.2822085889570552,0.0051020408163265,0.0948275862068965,163.0,iid,logistic,42,isotonic,empirical_mondrian
confidence,0.0771028037383177,0.2272727272727272,0.0051020408163265,0.0280172413793103,66.0,iid,logistic,42,isotonic,weighted_cap5
random,0.0771028037383177,0.3633177570093457,0.0295036238794583,0.0267533435385111,66.0,iid,logistic,42,isotonic,weighted_cap5
singleton,0.0771028037383177,0.2272727272727272,0.0051020408163265,0.0280172413793103,66.0,iid,logistic,42,isotonic,weighted_cap5
