setting,course,model,method,metric,estimate,lower,upper,n_test,n_fail,n_automatic_mean,n_automatic_min,n_automatic_max,finite_replicates
temporal_1,Accountancy,logistic,EIQ-batch,review_fraction,0.7560283687943262,0.7341843971631206,0.7770212765957447,705,314,172.0,85,277,2000
temporal_1,Accountancy,logistic,EIQ-batch,singleton_error,0.2975523405539156,0.24215479920569472,0.35239017063912204,705,314,172.0,85,277,2000
temporal_1,Accountancy,logistic,EIQ-batch,missed_failure,0.07770700636942675,0.05843506493506494,0.09731885606805453,705,314,172.0,85,277,2000
temporal_1,Accountancy,logistic,EQ,coverage,0.9327659574468085,0.9182907801418438,0.9480851063829787,705,314,185.6,135,261,2000
temporal_1,Accountancy,logistic,EQ,fail_coverage,0.8770700636942674,0.846252783160846,0.9072688365419578,705,314,185.6,135,261,2000
temporal_1,Accountancy,logistic,EQ,automatic_coverage,0.2632624113475177,0.23659574468085104,0.29134751773049644,705,314,185.6,135,261,2000
temporal_1,Accountancy,logistic,EQ,review_fraction,0.7367375886524823,0.7086524822695035,0.7634042553191489,705,314,185.6,135,261,2000
temporal_1,Accountancy,logistic,EQ,singleton_error,0.2506911158617635,0.1972663827921666,0.30419875617335995,705,314,185.6,135,261,2000
temporal_1,Accountancy,logistic,EQ,missed_failure,0.12292993630573248,0.09273116345804219,0.15374721683915393,705,314,185.6,135,261,2000
temporal_1,Accountancy,logistic,MCP,coverage,0.9398581560283688,0.9262340425531915,0.9543262411347518,705,314,171.4,98,261,2000
temporal_1,Accountancy,logistic,MCP,fail_coverage,0.8828025477707006,0.8531635680379746,0.9116906658296386,705,314,171.4,98,261,2000
temporal_1,Accountancy,logistic,MCP,automatic_coverage,0.24312056737588653,0.21645390070921983,0.2714893617021276,705,314,171.4,98,261,2000
temporal_1,Accountancy,logistic,MCP,review_fraction,0.7568794326241135,0.7285106382978723,0.7835460992907801,705,314,171.4,98,261,2000
temporal_1,Accountancy,logistic,MCP,singleton_error,0.24267542077823384,0.1864858005575906,0.3008044556399306,705,314,171.4,98,261,2000
temporal_1,Accountancy,logistic,MCP,missed_failure,0.11719745222929935,0.08830933417036137,0.1468364319620253,705,314,171.4,98,261,2000
temporal_1,Global economics,catboost,EIQ-batch,coverage,0.9039647577092511,0.8883994126284875,0.9183553597650513,681,261,173.6,127,259,2000
temporal_1,Global economics,catboost,EIQ-batch,fail_coverage,0.8773946360153256,0.8541980931236886,0.9010683977943764,681,261,173.6,127,259,2000
temporal_1,Global economics,catboost,EIQ-batch,automatic_coverage,0.2549192364170338,0.23494860499265785,0.2763582966226138,681,261,173.6,127,259,2000
temporal_1,Global economics,catboost,EIQ-batch,review_fraction,0.7450807635829662,0.7236417033773862,0.7650513950073421,681,261,173.6,127,259,2000
