setting,model,method,seed,n,n_fail,correct,wrong,deferred,detected,missed,fail_deferred
temporal_1,catboost,EQ,73,1386,575,0.14213564213564214,0.05916305916305916,0.7987012987012987,0.057391304347826085,0.09565217391304348,0.8469565217391304
temporal_1,catboost,EQ,101,1386,575,0.10822510822510822,0.049783549783549784,0.841991341991342,0.14956521739130435,0.03304347826086956,0.8173913043478261
temporal_1,catboost,MCP,7,1386,575,0.11616161616161616,0.06565656565656566,0.8181818181818182,0.09739130434782609,0.0782608695652174,0.8243478260869566
temporal_1,catboost,MCP,19,1386,575,0.03463203463203463,0.01948051948051948,0.9458874458874459,0.05217391304347826,0.0052173913043478265,0.9426086956521739
temporal_1,catboost,MCP,42,1386,575,0.018037518037518036,0.010101010101010102,0.9718614718614719,0.03304347826086956,0.0034782608695652175,0.9634782608695652
temporal_1,catboost,MCP,73,1386,575,0.14213564213564214,0.05916305916305916,0.7987012987012987,0.057391304347826085,0.09565217391304348,0.8469565217391304
temporal_1,catboost,MCP,101,1386,575,0.10822510822510822,0.049783549783549784,0.841991341991342,0.14956521739130435,0.03304347826086956,0.8173913043478261
temporal_1,logistic,EIQ-batch,7,1386,575,0.07575757575757576,0.051226551226551224,0.873015873015873,0.1826086956521739,0.0,0.8173913043478261
temporal_1,logistic,EIQ-batch,19,1386,575,0.31024531024531027,0.12698412698412698,0.5627705627705628,0.09565217391304348,0.25217391304347825,0.6521739130434783
temporal_1,logistic,EIQ-batch,42,1386,575,0.32395382395382394,0.14862914862914864,0.5274170274170275,0.2591304347826087,0.17739130434782607,0.5634782608695652
temporal_1,logistic,EIQ-batch,73,1386,575,0.1277056277056277,0.05555555555555555,0.8167388167388168,0.12695652173913044,0.05391304347826087,0.8191304347826087
temporal_1,logistic,EIQ-batch,101,1386,575,0.21572871572871574,0.07647907647907648,0.7077922077922078,0.08695652173913043,0.13043478260869565,0.782608695652174
temporal_1,logistic,EQ,7,1386,575,0.23593073593073594,0.0836940836940837,0.6803751803751804,0.017391304347826087,0.19652173913043477,0.7860869565217391
temporal_1,logistic,EQ,19,1386,575,0.31024531024531027,0.12698412698412698,0.5627705627705628,0.09565217391304348,0.25217391304347825,0.6521739130434783
temporal_1,logistic,EQ,42,1386,575,0.22582972582972582,0.07647907647907648,0.6976911976911977,0.022608695652173914,0.17739130434782607,0.8
temporal_1,logistic,EQ,73,1386,575,0.2987012987012987,0.12481962481962482,0.5764790764790765,0.12695652173913044,0.22086956521739132,0.6521739130434783
temporal_1,logistic,EQ,101,1386,575,0.21572871572871574,0.07647907647907648,0.7077922077922078,0.08695652173913043,0.13043478260869565,0.782608695652174
temporal_1,logistic,MCP,7,1386,575,0.23593073593073594,0.0836940836940837,0.6803751803751804,0.017391304347826087,0.19652173913043477,0.7860869565217391
temporal_1,logistic,MCP,19,1386,575,0.31024531024531027,0.12698412698412698,0.5627705627705628,0.09565217391304348,0.25217391304347825,0.6521739130434783
temporal_1,logistic,MCP,42,1386,575,0.1810966810966811,0.05916305916305916,0.7597402597402597,0.022608695652173914,0.1356521739130435,0.8417391304347827
temporal_1,logistic,MCP,73,1386,575,0.2777777777777778,0.1075036075036075,0.6147186147186147,0.07652173913043478,0.22086956521739132,0.7026086956521739
temporal_1,logistic,MCP,101,1386,575,0.21572871572871574,0.07647907647907648,0.7077922077922078,0.08695652173913043,0.13043478260869565,0.782608695652174
temporal_2,catboost,EIQ-batch,7,1399,637,0.43173695496783415,0.21515368120085776,0.3531093638313081,0.08948194662480377,0.45682888540031397,0.45368916797488223
temporal_2,catboost,EIQ-batch,19,1399,637,0.021443888491779844,0.005003573981415297,0.9735525375268048,0.04709576138147567,0.0,0.9529042386185244
